weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
856612,132505,0,15.242,1,37,n,n,t
100702,329251,0,14.3006,1,36,v,t,t
100702,132505,0,29.477,1,36,n,n,t
116078,177901,0,24.2431,1,33,t,n,n
116078,329251,0,11.4678,0,33,n,n,t
116078,132505,0,10.1237,1,33,t,v,t
177901,329251,0,15.3701,0,31,n,t,n
177901,132505,0,11.8067,0,31,t,n,n
329251,132505,0,16.0925,0,26,n,n,t
166107,131562,0,17.0226,1,36,n,n,t
166107,871153,0,25.3618,1,36,n,t,n
166107,170088,0,21.1664,1,36,n,n,t
166107,139918,0,11.6555,0,36,n,t,n
166107,963836,0,14.2372,2,36,v,t,t
131562,871153,0,12.2778,0,36,t,n,n
131562,170088,0,13.5996,0,36,t,v,t
131562,139918,0,10.3419,1,36,t,n,n
131562,963836,0,18.6049,0,36,n,n,t
871153,170088,0,15.5536,0,24,t,n,n
871153,117428,0,12.2943,1,24,n,t,n
871153,264822,0,14.6778,0,24,t,n,n
170088,117428,0,18.1838,1,40,n,n,t
170088,264822,0,13.9527,0,40,t,v,t
139918,963836,0,9.1868,1,26,n,t,n
139918,117428,0,13.0526,0,26,n,t,n
139918,264822,0,13.0207,1,26,t,n,n
963836,117428,0,12.1104,0,28,v,t,t
963836,264822,0,17.7288,0,28,n,n,t
117428,264822,0,9.3232,1,32,n,n,t
860467,176067,0,18.0902,0,34,n,n,t
860467,136572,0,20.1371,0,34,t,n,n
860467,342330,0,8.8536,1,34,n,n,t
860467,112220,0,9.6364,1,34,t,n,n
860467,143085,0,16.7402,0,34,t,v,t
176067,136572,0,14.8587,0,34,n,t,n
176067,342330,0,9.0076,2,34,v,t,t
176067,112220,0,8.6358,2,34,n,t,n
176067,143085,0,23.2611,0,34,n,n,t
136572,342330,0,10.3401,0,33,n,t,n
136572,136598,0,14.3682,0,33,t,t,v
136572,139551,0,12.4295,0,33,n,t,n
342330,136598,0,8.7777,0,36,n,t,n
342330,139551,0,15.4074,1,36,v,t,t
112220,143085,0,10.9954,1,31,t,n,n
112220,136598,0,10.1233,1,31,t,t,v
112220,139551,0,10.6172,0,31,n,t,n
143085,136598,0,16.928,0,32,t,n,n
143085,139551,0,9.8283,1,32,n,n,t
136598,139551,0,15.6003,0,34,n,t,n
457504,182600,0,13.6886,1,28,t,v,t
457504,121907,0,17.1161,0,28,t,v,t
457504,511501,0,26.3072,1,28,t,v,t
457504,184134,0,13.8752,2,28,n,n,t
457504,181317,0,37.6524,2,28,t,v,t
182600,121907,0,10.7126,0,33,t,v,t
182600,511501,0,22.9243,0,33,t,v,t
182600,184134,0,5.4117,0,33,n,n,t
182600,181317,0,16.7532,0,33,t,v,t
121907,511501,0,17.4339,1,32,t,v,t
121907,170589,0,8.9815,0,32,n,n,t
121907,316776,0,9.5683,1,32,t,v,t
511501,170589,0,15.3826,1,32,n,n,t
511501,316776,0,14.8978,0,32,t,v,t
184134,181317,0,14.8718,1,24,n,n,t
184134,170589,0,11.7653,1,24,v,t,t
184134,316776,0,11.2639,0,24,n,n,t
181317,170589,0,11.9268,1,38,n,n,t
181317,316776,0,12.8167,1,38,t,v,t
170589,316776,0,10.5653,1,34,n,n,t
474522,132146,0,24.2882,1,36,t,v,t
474522,113135,0,15.2995,0,36,n,n,t
474522,967684,0,16.8495,0,36,t,n,n
474522,137022,0,17.3845,1,36,t,n,n
474522,159557,0,12.7093,0,36,t,v,t
132146,113135,0,11.6522,0,39,n,n,t
132146,967684,0,11.3446,1,39,t,n,n
132146,137022,0,14.0193,0,39,t,n,n
132146,159557,0,13.3679,0,39,t,v,t
113135,967684,0,11.8034,1,27,n,t,n
113135,532700,0,11.5702,0,27,n,n,t
113135,882875,0,11.0501,0,27,n,n,t
967684,532700,0,14.8273,1,36,t,n,n
967684,882875,0,8.6031,0,36,t,n,n
137022,159557,0,11.8487,0,34,t,n,n
137022,532700,0,23.7276,1,34,t,n,n
137022,882875,0,16.5292,0,34,t,n,n
159557,532700,0,12.7561,1,30,t,v,t
159557,882875,0,13.5415,0,30,t,v,t
532700,882875,0,21.6113,0,28,t,v,t
548480,163624,0,18.8644,0,32,t,t,v
548480,129959,0,10.6737,0,32,t,n,n
548480,120107,0,11.4963,0,32,t,t,v
548480,761302,0,9.1547,0,32,t,t,v
548480,150422,0,11.0215,0,32,t,n,n
163624,129959,0,16.0433,0,30,t,n,n
163624,120107,0,17.0183,1,30,t,t,v
163624,761302,0,8.492,1,30,t,t,v
163624,150422,0,11.7526,0,30,t,n,n
129959,120107,0,12.1999,1,29,t,n,n
129959,162877,0,11.824,0,29,t,n,n
129959,684201,0,12.8123,0,29,t,v,t
120107,162877,0,13.5274,0,26,t,t,v
120107,684201,0,28.5392,0,26,t,n,n
761302,150422,0,19.365,2,28,t,n,n
761302,162877,0,8.0724,1,28,t,t,v
761302,684201,0,21.69,1,28,t,n,n
150422,162877,0,19.5826,0,26,t,n,n
150422,684201,0,24.2989,0,26,t,v,t
162877,684201,0,14.7629,1,31,t,n,n
196868,388541,0,12.017,1,41,t,v,t
